Mfg Part Num	Mfg Name	VID	Vendor Part Num	Unit Price	Description (bom-ex)	Country of Origin	Customer Ref
STM32F103VDT6	STMICROELECTRONICS	Farnell	1624140	18.48	MCU, 32BIT, CORTEXM3, 384KFLASH	France	
LM2596S-5.0	NATIONAL SEMICONDUCTOR	Farnell	1469195	7.6	IC, DC/DC CONVERTER, 3A	United States	
IN74HC11AD		Integral			Triple 3AND		
IN74HC123AD		Integral			Double monostable multivibrator		
IN74HC165AD		Integral			8-Bit Parallel-Input Serial-Output Shift Register		
IN74HC595AD		Integral			8-bit serial-in, parallel-out shift register		
IN24AA32AD		Integral			EEPROM, I2C, 32K		
SN65HVD232D	TEXAS INSTRUMENTS	Farnell	1103107	5.18	CAN TRANSCEIVER, SOIC8	United States	
USBUF01W6	STMicroelectronics	Mouser	511-USBUF01W6				
IL5233G		Integral			POSITIVE VOLTAGE REGULATOR, 3V3, 800mA		
ILX3232D		Integral			RS-232 transceiver, 3V3		
SA555D	TEXAS INSTRUMENTS	Farnell	9589945	0.88	TIMER PRECISION, SMD, SOIC8, 555, -40°C to +85°C	Mexico	
IL311AD		Integral			Voltage comparator		
IL33091AD		Integral			MOSFET driver		
LM2904M	NATIONAL SEMICONDUCTOR	Farnell	9486860	0.72	OP AMP, DUAL IND SPEC, 2904, SOIC8	United Kingdom	
IRFR430APBF	VISHAY FORMERLY I.R.	Farnell	8658846	1.9	MOSFET, N, 500V, 5A, D-PAK	Mexico	
AUIPS7111S	INTERNATIONAL RECTIFIER	Farnell	1925184	11.96	IC, POWER LOAD SWITCH, 60 V, 5-TO-252	Mexico	
BC817	NXP	Farnell	1081223	0.076	TRANSISTOR, NPN, SOT-23, 45V	Niger	
VS-30BQ060TRPBF	VISHAY FORMERLY I.R.	Farnell	8647887	1.94	DIODE, SCHOTTKY, 3A, 60V, SMC 	Taiwan	
VS-10BQ060TRPBF	VISHAY FORMERLY I.R.	Farnell	8647780	0.9	DIODE, SCHOTTKY, 1A, 60V, SMB	Taiwan	
IDD06SG60C	INFINEON	Farnell	1844997	5.9	DIODE, SCHOTTKY, 600V, 6A, DPACK	 Malaysia	
RS3M	MULTICOMP	Farnell	1625195	0.58	DIODE, FAST, 3A, 1000V, SMC	China	
BAT54JFILM	STMICROELECTRONICS	Farnell	9801502	0.158	DIODE, SCHOTTKY, 40V, SOD-323	France	
1N4148WS-V-GS18	VISHAY SEMICONDUCTOR	Farnell	1612348	0.158	DIODE, SMALL SIGNAL, 100V, SOD-323 	China	
S1G-E3/61T	VISHAY GENERAL SEMICONDUCTOR	Farnell	1837098	0.138	STANDARD DIODE, 1A, 400V, SMA	China	
BZV55-C3V3	NXP	Farnell	1097197	0.266	DIODE,ZENER,3.3V,0.5W,SOD80C 	Niger	
KPHCM-2012EC-T	KINGBRIGHT	Farnell	1686066	0.202	LED, SMD, 0805, 20mA, RED	China	
KPHCM-2012SGC-T	KINGBRIGHT	Farnell	1686074	0.202	LED, SMD, 0805, 20mA, GREEN	China	
DR125-470-R	COILTRONICS	Farnell	1612097	2.6	INDUCTOR, 47UH, 20%, ~3A	China	
DR127-470-R	COILTRONICS	Farnell	1463529	3.7	INDUCTOR, 47UH, 20%, ~3A	China	
DR73-101-R	COILTRONICS	Farnell	1463473	3.2	INDUCTOR, 100UH, 20%, ~1A	China	
RC0603FR-13100KL	YAGEO	Farnell	1799369	0.012	RESISTOR, 0603, 100k, 1%, 0.100W	Taiwan	
RC0603FR-1010KL	YAGEO	Farnell	1799358	0.012	RESISTOR, 0603, 10k, 1%, 0.100W	Taiwan	
RC0603JR-071K2L	YAGEO (PHYCOMP)	Farnell	9233393	0.08	RESISTOR, 0603, 1K2, 5%	Taiwan	
RC0603JR-072K2L	YAGEO (PHYCOMP)	Farnell	9233423	0.12	RESISTOR, 0603, 2K2, 5%	Taiwan	
RC0603JR-0722KL	YAGEO (PHYCOMP)	Farnell	9233547	0.12	RESISTOR, 0603, 22K, 5%	Taiwan	
RC0603JR-0751KL	YAGEO	Farnell	1799438	0.01	RESISTOR, 0603, 51K, 5%	Taiwan	
RC0603FR-075K1L	YAGEO	Farnell	1799348	0.006	RESISTOR, 0603, 5.1KOHM, 100mW, 1%	Taiwan	
ERJ3GEYJ391V	PANASONIC	Farnell	2059590	0.014	RESISTOR, 0603, 390R 5%, 0.1W	Japan	
ERJ3GEYJ101V	PANASONIC	Farnell	2059574	0.014	RESISTOR, 0603, 100R 5%, 0.1W	Japan	
ERJ6GEYJ102V	PANASONIC	Farnell	2057701	0.034	RESISTOR, 0805, 1K 5%, 0.125W	Japan	
ERJ3GEYJ331V	PANASONIC	Farnell	2059588	0.014	RESISTOR, 0603, 330R 5%, 0.1W	Japan	
ERJ3GEYJ473V	PANASONIC	Farnell	2059646	0.014	RESISTOR, 0603, 47K 5%, 0.1W	Japan	
ERJ3GEYJ363V	PANASONIC	Farnell	2059643	0.014	RESISTOR, 0603, 36K 5%, 0.1W	Japan	
ERJ6GEYJ153V	PANASONIC	Farnell	2057721	0.034	RESISTOR, 0805, 15K 5%, 0.125W	Japan	
ERJ6GEY0R00V	PANASONIC	Farnell	2057661	0.034	RESISTOR, 0805, 0R 5%, 0.125W	Japan	
ERJ6GEYJ474V	PANASONIC	Farnell	2057737	0.034	RESISTOR, 0805, 470K 5%, 0.125W	Japan	
RC0805JR-0782KL	YAGEO (PHYCOMP)	Farnell	9234241	0.08	RESISTOR, 0805, 82K, 5% 	Taiwan	
RC1206JR-074K7L	YAGEO (PHYCOMP)	Farnell	9240608	0.142	RESISTOR, 1206, 4K7, 5%	Taiwan	
RC1206JR-07120RL	YAGEO (PHYCOMP)	Farnell	9240411	0.094	RESISTOR, 1206, 120R, 5%	Taiwan	
RC2512FK-071KL	YAGEO (PHYCOMP)	Farnell	1283116	0.44	RESISTOR, 2512, 1%, 1K, 1W	Taiwan	
RC2512JK-071KL	YAGEO (PHYCOMP)	Farnell	9235957	0.386	RESISTOR, 2512, 5%, 1K, 1W	Taiwan	
35203K3JT	TE CONNECTIVITY / CGS	Farnell	1265202	0.238	RESISTOR, 2512, 5%, 3K3, 1W	Thailand	
TSM4YJ102KR05	VISHAY SFERNICE	Farnell	1141345	3.82	TRIMMER, SMD, 13 TURN, 1K0, 0.25W	France	
C0603C105K4PACTU	KEMET	Farnell	1288256	0.246	CAPACITOR, 0603, 1UF, 16V, X5R	Mexico	
C0603C104K5RACTU	KEMET	Farnell	1288255	0.056	CAPACITOR, 100NF, 50V, X7R,0603	Mexico	
C0603C103K5RACTU	KEMET	Farnell	1414609	0.064	CAPACITOR, 0603, 10NF, 50V, X7R	Mexico	
